Style,OG,FG,ABV,IBU,Color
0,1.133,1.022,14.57,94.09,18.03
0,1.098,1.02,10.23,109.17,15.38
1,1.126,1.04,11.27,74.72,28.04
0,1.098,1.02,10.18,55.47,15.59
1,1.089,1.023,8.73,52.99,8.49
0,1.119,1.025,12.38,56.87,10.55
1,1.105,1.033,9.36,59.49,13.07
1,1.107,1.031,10,58.78,16.31
1,1.097,1.02,10.05,59.26,17.79
0,1.107,1.027,10.53,104.35,16.11
0,1.103,1.018,11.15,80.22,14.77
0,1.082,1.016,8.69,47.93,12.36
1,1.099,1.021,10.3,41.12,18.63
1,1.112,1.031,10.6,43.71,29.11
1,1.094,1.022,9.46,53.63,15.3
0,1.107,1.02,11.49,82.47,17.13
0,1.094,1.014,10.53,68.33,6.6
1,1.091,1.022,9.04,95.24,16.54
1,1.097,1.016,10.56,42.13,14.95
0,1.092,1.023,9.03,98.57,23.66
0,1.11,1.025,11.13,103.36,15.8
0,1.1,1.025,9.86,0,16.33
0,1.067,1.011,7.28,119.48,15.76
1,1.08,1.017,8.35,56.76,15.68
1,1.114,1.027,11.47,47.03,17.22
1,1.111,1.021,11.81,52.35,14.82
0,1.105,1.026,10.42,69.55,15.34
0,1.096,1.018,10.25,75.7,12.08
1,1.095,1.017,10.24,87.08,11.67
1,1.081,1.01,9.25,79.53,11.4
1,1.112,1.023,11.7,37.57,14.18
1,1.099,1.023,9.88,65.87,15.46
1,1.102,1.013,11.66,82.9,14.83
1,1.106,1.016,11.88,55.19,11.96
0,1.103,1.015,11.45,118.18,16.64
1,1.129,1.034,12.52,59.4,14.98
0,1.093,1.019,9.75,85.69,16.58
1,1.118,1.028,11.77,39.91,23.6
1,1.119,1.027,12,63.65,9.66
1,1.127,1.035,12.07,74.79,18.9
1,1.111,1.031,10.47,50.26,28.07
1,1.095,1.022,9.47,54.05,12.99
0,1.111,1.02,11.99,56.01,37.95
1,1.136,1.028,14.13,47.74,12.23
0,1.097,1.02,10.16,104.58,14.4
0,1.094,1.023,9.28,103.11,18.93
1,1.097,1.016,10.58,36.86,8.96
1,1.121,1.04,10.56,59.53,17.63
1,1.108,1.021,11.34,56.33,20.71
0,1.096,1.017,10.27,85.55,20.11
0,1.095,1.012,11.84,105.72,18.79
0,1.104,1.025,10.4,42.07,20.28
0,1.092,1.015,10.03,96.96,15.28
0,1.095,1.02,9.81,42.85,17.4
1,1.091,1.021,9.22,103.26,19.69
1,1.117,1.018,12.94,41.99,14.56
1,1.1,1.026,9.71,96.72,15.24
1,1.13,1.039,11.96,78.02,30.73
0,1.101,1.025,9.98,115.29,19.46
0,1.109,1.032,10.12,95.36,20.02
0,1.12,1.03,11.87,96.5,17.29
1,1.087,1.019,8.93,69.09,5.58
1,1.088,1.019,9.15,61.04,15.76
0,1.116,1.018,12.82,59.04,14.31
1,1.095,1.02,9.91,82.06,11.21
0,1.074,1.015,8.18,46.23,15.54
0,1.106,1.026,10.41,91.85,14.8
0,1.104,1.013,11.99,87.54,18.03
1,1.108,1.024,11.05,62.83,14.36
0,1.099,1.02,10.37,55.2,21.4
0,1.093,1.019,9.67,100.44,16.16
0,1.098,1.022,9.92,108.43,15.03
0,1.1,1.021,10.37,90.5,13.83
0,1.083,1.021,8.14,109.33,14.24
1,1.106,1.027,10.47,32.93,9.56
0,1.12,1.027,12.16,55.67,13.98
0,1.089,1.02,9.03,53.78,23.85
0,1.09,1.019,9.25,50.4,15.82
1,1.096,1.031,8.5,64.15,11.73
1,1.118,1.027,11.97,40.67,15.74
1,1.115,1.027,11.66,50.1,19.3
0,1.103,1.02,10.92,68.56,17.23
1,1.112,1.031,10.68,59.91,9.06
1,1.11,1.025,11.07,73.73,19.46
1,1.102,1.027,9.91,54.97,20.04
1,1.122,1.017,13.78,103.53,13.39
0,1.093,1.023,9.12,119.09,17.54
0,1.1,1.023,10.07,105.27,15.72
1,1.153,1.042,14.5,56.77,17.69
1,1.118,1.03,11.58,107.37,12.79
0,1.108,1.026,10.68,73.49,10.79
0,1.12,1.029,11.95,78.57,36.02
0,1.092,1.02,9.41,91.28,11.86
1,1.107,1.029,10.22,59.79,21.71
1,1.1,1.031,9.05,59.16,11.18
0,1.088,1.019,9.06,51.06,18.36
1,1.112,1.023,11.74,83.85,23.79
1,1.123,1.029,12.3,58.23,19.26
1,1.086,1.014,9.42,85.42,9.19
1,1.1,1.022,10.16,78.92,21.29
1,1.106,1.019,11.35,40.34,18.3
1,1.117,1.03,11.47,81.57,32.27
1,1.148,1.036,14.76,51.34,12.57
0,1.12,1.013,14.01,37.77,5.71
0,1.089,1.017,9.38,0,13.35
1,1.085,1.02,8.45,60.41,11.2
0,1.135,1.037,12.88,84.33,14.65
1,1.101,1.026,9.87,118.19,17.82
0,1.102,1.024,10.28,94.42,35.45
1,1.104,1.019,11.16,63.38,18.39
